PLAYER,POS,HEIGHT,YEAR
Quincy Acy,F,199.39,2012
Harrison Barnes,F,200.66,2012
Will Barton,G,195.58,2012
Bradley Beal,G,191.135,2012
J'Covan Brown,G,185.42,2012
William Buford,G,193.04,2012
Jae Crowder,F,194.945,2012
Jared Cunningham,G,191.77,2012
Anthony Davis,F,206.375,2012
Marcus Denmon,G,188.595,2012
Andre Drummond,C,207.645,2012
Kim English,G,194.31,2012
Festus Ezeli,C,207.645,2012
Drew Gordon,F,203.2,2012
JaMychal Green,F,203.2,2012
Draymond Green,F,197.485,2012
Maurice Harkless,F,201.295,2012
John Henson,F,205.74,2012
Tu Holloway,G,179.07,2012
Robbie Hummel,F,201.295,2012
Bernard James,F,205.105,2012
John Jenkins,G,191.135,2012
Orlando Johnson,G,192.405,2012
Darius Johnson-Odom,G,186.69,2012
Terrence Jones,F,203.835,2012
Kevin Jones,F,198.755,2012
Perry Jones,F,208.915,2012
Kris Joseph,G,198.12,2012
Michael Kidd-Gilchrist,F,197.485,2012
Doron Lamb,G,191.135,2012
Jeremy Lamb,G,193.04,2012
Meyers Leonard,C,212.725,2012
Damian Lillard,G,187.325,2012
Scott Machado,G,185.42,2012
Kendall Marshall,G,191.135,2012
Fab Melo,C,210.185,2012
Khris Middleton,F,200.025,2012
Darius Miller,F,198.12,2012
Quincy Miller,F,205.105,2012
Tony Mitchell,G,196.215,2012
Arnett Moultrie,F,207.01,2012
Kevin Murphy,G,195.58,2012
Andrew Nicholson,F,204.47,2012
Kyle O'Quinn,F,204.47,2012
Miles Plumlee,F,209.55,2012
Austin Rivers,G,191.77,2012
Thomas Robinson,F,202.565,2012
Terrence Ross,G,198.12,2012
Tomas Satoransky,G,199.39,2012
Mike Scott,F,201.295,2012
Henry Sims,C,208.28,2012
Jared Sullinger,F,202.565,2012
Tyshawn Taylor,G,189.865,2012
Jordan Taylor,G,185.42,2012
Jeff Taylor,F,198.12,2012
Marquis Teague,G,185.42,2012
Hollis Thompson,F,200.025,2012
Dion Waiters,G,189.23,2012
Royce White,F,200.66,2012
Tony Wroten,G,194.945,2012
Tyler Zeller,F,211.455,2012
Steven Adams,C,210.185,2013
Vander Blue,G,191.77,2013
Lorenzo Brown,G,193.04,2013
Reggie Bullock,G,197.485,2013
Trey Burke,G,182.245,2013
Kentavious Caldwell-Pope,G,194.31,2013
Isaiah Canaan,G,180.34,2013
Jackie Carmichael,F,201.93,2013
Michael Carter-Williams,G,194.945,2013
Will Clyburn,F,197.485,2013
Robert Covington,F,198.755,2013
Allen Crabbe,G,196.215,2013
Seth Curry,G,185.42,2013
Brandon Davies,F,204.47,2013
Dewayne Dedmon,C,208.28,2013
Gorgui Dieng,C,207.645,2013
James Ennis,F,197.485,2013
Carrick Felix,F,194.945,2013
Jamaal Franklin,G,193.04,2013
Rudy Gobert,C,214.63,2013
Archie Goodwin,G,192.405,2013
Erick Green,G,186.69,2013
Tim Hardaway Jr.,G,194.31,2013
Solomon Hill,F,196.85,2013
Richard Howell,F,198.755,2013
Colton Iverson,C,209.55,2013
Pierre Jackson,G,176.53,2013
